doll_friend_s2_message,Description,Skip,Additional comments,Identifier iOS,Identifier Android,en-us text,tw text,cn text,th-th text,de text
Accessibility,Accessibility for questions and answers button,,Accessibility,,accessibility_questions_and_answers,Questions and answers,,,,Fragen und Antworten
Accessibility,Accessibility for recording video button,,Accessibility,,accessibility_record_video,Record Video,,,,Video aufnehmen
Accessibility,Accessibility for remove button,,Accessibility,,accessibility_remove,Remove,,,,Entfernen
Accessibility,Accessibility for scheduling play button,,Accessibility,,accessibility_scheduling_play,Schedule play,,,,Planen Sie das Spiel
Accessibility,Accessibility for sleep mode off,,Accessibility,,accessibility_sleep_mode_off,Turn off sleep mode,,,,Schalten Sie den Schlafmodus aus
Accessibility,Accessibility for sleep mode on,,Accessibility,,accessibility_sleep_mode_on,Turn on sleep mode,,,,Schalten Sie den Schlafmodus ein
Accessibility,Accessibility for sound selected,,Accessibility,,accessibility_sound_selected,Sound selected,,,,Ton ausgewählt
Accessibility,Accessibility for sound unselected,,Accessibility,,accessibility_sound_unselected,Sound unselected,,,,Ton nicht ausgewählt
Accessibility,Accessibility for start record button,,Accessibility,,accessibility_start_record,Start Record,,,,Aufnahme starten
Accessibility,Accessibility for stop recording,,Accessibility,,accessibility_stop_recording,Stop Recording,,,,Stoppen Sie die Aufnahme
Accessibility,Accessibility for terms icon,,Accessibility,,accessibility_terms_icon,Terms of Service,,,,Nutzungsbedingungen
Accessibility,Accessibility for themed story,,Accessibility,,accessibility_themed_icon,Themed Story,,,,Thematische Geschichte
Accessibility,Accessibility for tutorial,,Accessibility,,accessibility_tutorial,Tutorial,,,,Anleitung
Accessibility,Accessibility for video resolution,,Accessibility,,accessibility_video_resolution,Video Resolution,,,,Videoauflösung
Accessibility,Accessibility for back button,,Accessibility,,accessibility_back,Back,Back,Back,,Zurück
Pixsee Friends S2 & Lite,Play album button,,,dolls_playlist_playAlbum,dolls_play_album,Play album,播放專輯,播放专辑,,Album abspielen.
Pixsee Friends S2 & Lite,,,,dolls.mediaNotEnoughSpace,doll_media_not_enough_space,Phone Storage Full: Free up at least 1 GB of space to download audio content from Pixsee Friends.,手機容量不足，請釋放至少1GB的空間以下載Pixsee Friends的有聲內容。,手机容量不足，请释放至少1GB的空间以下载Pixsee Friends的有声内容。,,"Der Speicher Deines Telefons ist voll: Gib mindestens 1 GB Speicherplatz frei, um Audioinhalte von Pixsee Friends herunterladen zu können."
Pixsee Friends S2 & Lite,,,,,doll_media_not_enough_space_got_it,I got it,,,,Verstanden.
Pixsee Friends S2 & Lite,,,,dolls.friendS2Message,doll_friend_s2_message,"Hi, I'm %s. I bring your child fun, enriching stories!","嗨，我是 %s。
我將為孩子帶來豐富又有趣的故事和回憶喔！","嗨，我是 %s。
我将为孩子带来丰富又有趣的故事喔！","Hi, I'm %s. \nI bring your baby good story & memories!","Hallo, ich bin %s. Ich bringe Ihrem Kind lustige, bereichernde Geschichten!"
Pixsee Friends S2 & Lite,,,,oobe.saveBaby,,Save,儲存,储存,,Speichern
Pixsee Friends S2 & Lite,,,,drawerMenu.newBaby,home_initialization_menu_new_baby,Create baby's memories,創建寶寶回憶,创建宝宝回忆,,Schaffen Sie Baby-Erinnerungen
Pixsee Friends S2 & Lite,,,,drawerMenu.addDevice,home_initialization_menu_add_device,Add device,新增裝置,新增装置,,Gerät hinzufügen
Pixsee Friends S2 & Lite,Stop play album button,,,dolls_playlist_stopPlayAlbum,dolls_stop_play_album,Stop,停止播放,停止播放   ,,Stop
App Enhancement,,,,afe_diagnosis_reportError,report_error_title,Report error,回報錯誤,回报错误,,Fehler melden
App Enhancement,,,,afe_diagnosis_reportError_sendReport,,Send,寄出,寄出,,Schicken
App Enhancement,,,,afe_diagnosis_sendReportAlert_send,send_report,Send,寄出,寄出,,Schicken
App Enhancement,,,,,submit_report,Send,寄出,寄出,,Schicken
App Enhancement,,,,afe_diagnosis_sendReportAlert_description,send_report_dialog_message,We created an error report that you can send to us to help us resolve the issue tha you are encounting and improve your experience. We will treat this report as confidential.,我們已建立了一份錯誤報告。請點選「寄出」讓我們解決您遇到的問題並改善您的體驗。我們將對此份報告保密。,我们已建立了一份错误报告。请点选「寄出」让我们解决您遇到的问题并改善您的体验。我们将对此份报告保密。,,"Wir haben einen Fehlerbericht erstellt, den Sie uns senden können, um uns bei der Lösung des aufgetretenen Problems und der Verbesserung Ihres Erlebnisses zu helfen. Wir werden diesen Bericht vertraulich behandeln."
App Enhancement,,,,afe_diagnosis_sendReportAlert_title,send_report_dialog_title,Send an error report to help us improve Pixsee,寄送錯誤報告以促使我們改善Pixsee,寄送错误报告以促使我们改善Pixsee,,"Senden Sie einen Fehlerbericht, um uns bei der Verbesserung von Pixsee zu helfen"
App Enhancement,,,,afe_diagnosis_sendingReportAlert_title,send_report_dialog_being_send,The error report is now being send.,錯誤報告傳送中。,错误报告传送中。,,Der Fehlerbericht wird nun versendet.
App Enhancement,,,,afe_diagnosis_reportSentAlert_title,send_report_dialog_reporting_completed,Error reporting completed!,回報錯誤完成！,回报错误完成！,,Fehlerbericht abgeschlossen!
App Enhancement,,,,afe_diagnosis_iGotIt,send_report_i_go_it,I got it,我知道了,我知道了,,Verstanden.
App Enhancement,,,,afe_diagnosis_reportSentAlert_description,send_report_dialog_report_successfully,The error report is submitted! ,錯誤報告已成功寄出。,错误报告已成功寄出。,,Der Fehlerbericht ist übermittelt! 
Pixsee Friends S2 & Lite,Content play story friend,,,chineseLanguageAbbreviated,content_play_story_language_cn_abbreviated,CH,中文,中文,,CH
Pixsee Friends S2 & Lite,Content play story friend,,,englishLanguageAbbreviated,content_play_story_language_en_abbreviated,EN,英文,英文,,EN
Pixsee Friends S2 & Lite,,,,contentPlayStorySubscriptionMessage,subscription_content_play_story,Upgrade subscription to manually play stories on Pixsee Play via the App.,若想以App手動方式在Pixsee Play播放故事，請升級訂閱方案。,若想以App手动方式在Pixsee Play播放故事，请升级订阅方案。,,"Aktualisieren Sie Ihr Abonnement, um Geschichten auf Pixsee Play manuell über die App abzuspielen."
Pixsee Friends S2 & Lite,,,,storyLanguageToastEnglish,dolls_story_album_audio_switch_english,The language for audio stories is set to English.,有聲故事的語言已切換至英文,有声故事的语言已切换至英文。,,Die Sprache für Audio-Storys ist auf Englisch eingestellt.
Pixsee Friends S2 & Lite,,,,storyLanguageToastChinese,dolls_story_album_audio_switch_chinese,The language for audio stories is set to Chinese.,有聲故事的語言已切換至中文。,有声故事的语言已切换至中文。,,Die Sprache für Audio-Storys ist auf Chinesisch eingestellt.
Pixsee Friends S2 & Lite,What's new content Doll S2,,,doll.whatsNewDescription,doll_s2_whats_new_info,"Pixsee Friends is excited to present ""Story Friends,"" a brand-new series of AI-linked stuffed toys. Let Pixsee Play enchant your child with wonderful tales!",Pixsee Friends新推出故事夥伴。讓Pixsee Play為孩子寶貝說豐富的故事吧！,Pixsee Friends新推出故事伙伴。让Pixsee Play为孩子说丰富的故事吧,,"Pixsee Friends freut sich, „Story Friends“ präsentieren zu können, eine brandneue Serie von KI-verknüpften Stofftieren. Lassen Sie Pixsee Play Ihr Kind mit wunderbaren Geschichten verzaubern!"
Pixsee Friends S2 & Lite,What's new header Doll S2,,,doll.whatsNewTitle,doll_s2_whats_new,What\'s new,新功能,新功能,,Was ist neu?
Pixsee Friends S2 & Lite,External SD Card preparing,,,sdCard.isPreparing,sd_card_is_preparing,Reading SD card,SD卡讀取中,SD卡读取中,,SD-Karte lesen
Pixsee Friends S2 & Lite,,,,sdCard.timeToPrepare,sd_card_time_to_prepare,This may take 1-3 minutes. Please wait...,讀取SD卡需要1-3分鐘，請稍後...,读取SD卡需要1-3分钟，请稍后...,,Dies kann 1–3 Minuten dauern. Bitte warten …
Pixsee Friends S2 & Lite,,,,sdCard.TimeToGetReady,sd_card_time_to_get_ready,Please wait for 1-3 minutes while the SD card gets ready...,讀取SD卡需要1-3分鐘，請稍後...,读取SD卡需要1-3分钟，请稍后...,,"Bitte warten Sie 1–3 Minuten, während die SD-Karte bereit ist."
Pixsee Friends S2 & Lite,"SD Card 8, 16 GB not supported anymore pop up",,,doll.sdCardNotSupportedAnymore,sd_card_8_16_not_supported_anymore,"SD card is not support 8G and 16G anymore, please change the card  which is compatible with this device.",本裝置已不再支援8G或16G之SD卡，請更換32G至1T的SD卡。,本装置已不再支援8G或16G之SD卡，请更换32G至1T的SD卡。,,"Die SD-Karte unterstützt 8G und 16G nicht mehr. Bitte tauschen Sie die Karte aus, die mit diesem Gerät kompatibel ist."
Pixsee Friends S2 & Lite,Android system internal string for exhibition in notification OS settings,,,,doll_media_player_notification_channel,Content play media channel,Content play media channel,Content play media channel,,Medienkanal zum Abspielen von Inhalten
Pixsee Friends S2 & Lite,Android system accessibility for media player,,,,media_player_accessibility_previous,Previous,Previous,Previous,,Vorherige
Pixsee Friends S2 & Lite,Android system accessibility for media player,,,,media_player_accessibility_pause,Pause,Pause,Pause,,Pause
Pixsee Friends S2 & Lite,Android system accessibility for media player,,,,media_player_accessibility_play,Play,Play,Play,,Spielen
Pixsee Friends S2 & Lite,Android system accessibility for media player,,,,media_player_accessibility_next,Next,Next,Next,,Weiter
Pixsee Friends S2 & Lite,Content play,,,contentPlayStoryAddPixseeFriends,no_story_pixsee_friends_add_btn,Add Story Friends,新增故事夥伴,新增故事伙伴,,Story-Freunde hinzufügen
Pixsee Friends S2 & Lite,Whats new popup,,,doll.whatsNewGotIt,doll_whats_new_i_got_it,I got it,我知道了,我知道了,,Verstanden.
Doll,Doll Scan Info Web Site,,Used for Pixsee GLOBAL,__global__urls.dollScanInfo,__global__url_doll_scan_info,https://www.pixseecare.com/us/support/pixseeplay/article/349,https://www.pixseecare.com/tw/support/pixseeplay/article/349,https://www.pixseecare.com/tw/support/pixseeplay/article/349,https://www.pixseecare.com/us/support/pixseeplay/article/349,https://www.pixseecare.com/us/support/pixseeplay/article/349
,When sdCard is not compatible there is a pop up warning the user,,,pixseeFriendsDialogNoCompatibleSdCardTitle,pixsee_friends_dialog_no_compatible_sd_card_title,"No compatible SD card detected. To enable playing audio content, ensure you are using a compatible SD card that has been formatted.",未偵測到相容的SD卡，無法正常播放有聲內容。請確認已置入相容的SD卡並已格式化，這樣SD卡才是就緒狀態。,未侦测到相容的SD卡，无法正常播放有声内容。请确认已置入相容的SD卡并已格式化，这样SD卡才是就绪状态。,,"Keine kompatible SD-Karte erkannt. Um die Wiedergabe von Audioinhalten zu ermöglichen, stellen Sie sicher, dass Sie eine kompatible SD-Karte verwenden, die formatiert wurde."
,,,,pixseeFriendsDialogNoCompatibleSdCardSubtitle,pixsee_friends_dialog_no_compatible_sd_card_description,Please confirm the following:\n(1) Insert the SD card properly.\n(2) Use a compatible SD card for this device.\n(3) Ensure the SD card has at least 32GB of storage.\n(4) Use an SD card with a capacity under 1TB.,請確認以下方法：\n（1)正確插入SD卡\n（2)使用與本裝置相容的SD卡\n（3)使用容量至少32GB的SD卡\n（4)勿使用超過1T容量的SD卡,请确认以下方法：\n（1)正确插入SD卡\n（2)使用与本装置相容的SD卡\n（3)使用容量至少32GB的SD卡\n（4)勿使用超过1T容量的SD卡,,"Bitte bestätigen Sie Folgendes:\n(1) Setzen Sie die SD-Karte richtig ein.\n(2) Verwenden Sie eine kompatible SD-Karte für dieses Gerät.\n(3) Stellen Sie sicher, dass die SD-Karte über mindestens 32 GB Speicherplatz verfügt.\n(4 ) Verwenden Sie eine SD-Karte mit einer Kapazität unter 1 TB."
,,,,,pixsee_friends_dialog_no_compatible_sd_card_button,I got it,我知道了,我知道了,,Verstanden.
,,,,slideshow.menu.edit,slideshow_menu_edit,Edit,編輯,编辑,,Bearbeiten
,,,,slideshow.menu.share,slideshow_menu_share,Share,分享,分享,,Aktie
,,,,slideshow.menu.delete,slideshow_menu_delete,Delete,刪除,删除,,Löschen
,,,,slideshow.menu.download,slideshow_menu_download,Download,下載,下载,,Herunterladen
Story Music Box,,,,storyMusicBoxEspeciallyMineDeleteDialogTitle,story_music_box_especially_mine_delete_dialog_title,Are you sure you want to delete this playlist?,你確定要刪除這個播放歌單嗎？,你确定要删除这个播放歌单吗？,,"Sind Sie sicher, dass Sie diese Playlist löschen möchten?"
Story Music Box,,,,storyMusicBoxEspeciallyMineDeleteDialogSubtitle,story_music_box_especially_mine_delete_dialog_subtitle,Deleted playlists cannot be restored.,已刪除的播放歌單將無法還原,已删除的播放歌单将无法还原,,Gelöschte Playlists können nicht wiederhergestellt werden.
Story Music Box,,,,,story_music_box_especially_mine_delete_dialog_delete,Delete,刪除,删除,,Löschen
Story Music Box,,,,,story_music_box_especially_mine_delete_dialog_cancel,Cancel,取消,取消,,Stornieren
Azure IoT Hub,Stream error message in Profile Settings,,,,profile_settings_stream_device_is_not_connected,The device isn\'t responding. Check your network connection and try again!,裝置無回應，請確認網路連線狀態，並稍候再試!,装置无响应，请确认网络联机状态，并稍候再试!,The device isn\'t responding. Check your network connection and try again!,Das Gerät reagiert nicht. Überprüfen Sie Ihre Netzwerkverbindung und versuchen Sie es erneut!
Azure IoT Hub,"Title
Error dialog for cloud errors: 
10221: Device is not found
90003: Permission deny
11916: Update device setting fail",,,,settings_error_dialog_title,An unknown error occurred,發生未知錯誤,发生了未知错误,An unknown error occurred,Es ist ein unbekannter Fehler aufgetreten
Azure IoT Hub,"Description
Error dialog for cloud errors: 
10221: Device is not found
90003: Permission deny
11916: Update device setting fail",,,,settings_error_dialog_description,Please contact service support.,請聯繫客服中心,请联系客服中心,Please contact service support.,Bitte wenden Sie sich an den Service-Support.
Azure IoT Hub,"Error Code
Error dialog for cloud errors: 
10221: Device is not found
90003: Permission deny
11916: Update device setting fail",,,,settings_error_code,Error code: %1$d,錯誤碼: %1$d,错误码: %1$d,Error code: %1$d,Fehlercode: %1$d
Azure IoT Hub,"Customer Service Button
Error dialog for cloud errors: 
10221: Device is not found
90003: Permission deny
11916: Update device setting fail",,,,settings_customer_service,Customer service,客服,客服,Customer service,Kundendienst
Content Play,,,Specific identifier for the content play select,,content_play_select_media_btn,Select,選擇,选择,,Wählen
Content Play,,,,content.play.section.title.especially.mine,content_play_section_title_especially_mine,Especially Mine,特別屬於我,特别属于我,,Besonders meins
Content Play,,,,content.play.section.title.built.in,content_play_section_title_built_in,Pixsee selected albums,Pixsee精選專輯,Pixsee精选专辑,,Ausgewählte Pixsee-Alben
Content Play,,,,content.play.section.title.friends,content_play_section_title_friends,Pixsee Friends Exclusive Playlist,Pixsee Friends 專屬歌單,Pixsee Friends 专属歌单,,Exklusive Pixsee Friends-Playliste
Content Play,,,,content.play.especially.mine.add.playlists,content_play_especially_mine_add_playlists,Add playlists,新增,新增,,Playlists hinzufügen
Content Play,,,,content.play.especially.mine.add.to.playlists.bottom.sheet,content_play_especially_mine_add_to_playlists_bottom_sheet,Add to Especially Mine,加入「特別屬於我」,加入「特别属于我」,,Zu „Besonders meins“ hinzufügen
Content Play,,,,contentPlayEspeciallyMineMoveToPlaylistsBottomSheet,content_play_especially_mine_move_to_playlists_bottom_sheet,Move to,移動至,移动至,,Bewegen Sie sich nach
Content Play,,,,,content_play_especially_mine_song_removed_snackbar,The song has been removed.,這首歌已被刪除,这首歌已被删除,,Das Lied wurde entfernt.
Content Play,,,,content.play.especially.mine.createPlaylist,content_play_create_playlist_dialog_title,New playlist,自創新播放歌單,自创新播放歌单,,Neue Playlist
Content Play,,,,"content.play.especially.mine.addedtoplaylist.snackbar
",content_play_especially_mine_song_added_snackbar,Added to selected playlist(s).,已加入所選播放歌單,已加入所选播放歌单,,Zu ausgewählten Playlist(s) hinzugefügt.
Content Play,,,,contentPlayEspeciallyMineSongMovedSnackbar,content_play_especially_mine_song_moved_snackbar,The song has been moved to selected playlist(s).,這首樂曲已被移動到選定的播放歌單中,这首乐曲已被移动到选定的播放歌单中,,Der Song wurde in die ausgewählte(n) Playlist(s) verschoben.
,,,,contentPlayRemoveFromFavoritesDialogTitle,content_play_remove_from_favorites_dialog_title,Attention,注意,注意,,Achtung!
,,,,contentPlayRemoveFromFavoritesDialogDescription,content_play_remove_from_favorites_dialog_description,This song will be removed from all your playlists. Are you sure you want to remove it?,這首歌將從您所有的播放歌單中移除，您確定要移除嗎？,这首歌将从您所有的播放歌单中移除，您确定要移除吗？,,Dieses Lied wird aus allen Ihren Wiedergabelisten entfernt. Möchten Sie es wirklich entfernen?
,,,,contentPlayRemoveFromFavoritesDialogConfirm,content_play_remove_from_favorites_dialog_confirm,Remove,移除,移除,,Entfernen
,,,,contentPlayRemoveFromFavoritesDialogCancel,content_play_remove_from_favorites_dialog_cancel,Cancel,取消,取消,,Stornieren
,,,,contentPlayRemoveFromMyPlaylist,content_play_especially_mine_song_favorite_remove_all_snackbar,Removed from my playlist(s).,已從我的播放歌單中移除,已从我的播放歌单中移除,,Aus meiner(n) Playlist(s) entfernt.
,,,,contentMusicExceptionDialogExpiredSongTitle,content_music_exception_dialog_expired_song_title,This song is no longer available.,此樂曲已經下架，無法播放。,此乐曲已经下架，无法播放。,,Dieses Lied ist nicht mehr verfügbar.
,,,,,content_music_exception_dialog_expired_song_button,I got it,我知道了,我知道了,,Verstanden.
,,,,contentPlayExceptionDialogRemovedSongTitle,content_music_exception_dialog_removed_song_title,This song is no longer available and cannot be edited.,系統無法執行編輯，樂曲已被移除。,系统无法执行编辑，乐曲已被移除。,,Dieses Lied ist nicht mehr verfügbar und kann nicht bearbeitet werden.
,,,,contentPlayExceptionDialogRemovedSongButton,content_music_exception_dialog_removed_song_button,I got it,我知道了,我知道了,,Verstanden.
,,,,content.music.exception.dialog.all.song.removed.title,content_music_exception_dialog_all_song_removed_title,All songs have been removed.,所有樂曲已被移除。,所有乐曲已被移除。,,Alle Lieder wurden entfernt.
,,,,,content_music_exception_dialog_all_song_removed_button,I got it,我知道了,我知道了,,Verstanden.
,,,,contentPlayEspeciallyMineAddSongTitle,content_play_especially_mine_add_song_title,Add Music,加入音樂,加入音乐,,Musik hinzufügen
,,,,contentPlayEspeciallyMineAddSongSelect,content_play_especially_mine_add_song_select,Select (%s),選擇 (%s),选择 (%s),Select (%s),Wählen Sie (%s)
,,,,contentPlayEspeciallyMineAddSongSelectAll,content_play_especially_mine_add_song_select_all,Select all,全選,全选,,Alles auswählen
,,,,contentPlayEspeciallyMineAddSongDeselectAll,content_play_especially_mine_add_song_deselect_all,Deselect all,取消全選,取消全选,,Alle abwählen
,,,,contentPlay.expiredNoticeTitle,content_play_expired_notice_dialog_title,Attention,注意,注意,,Achtung!
,,,,contentPlay.expiredNoticeDescription,content_play_expired_notice_dialog_content,Some songs in your playlists are reaching the end of their listening period and will be automatically removed.,提醒您，部分樂曲因授權到期即將下架而無法播放，且會自動從清單刪除。,提醒您，部分乐曲因授权到期即将下架而无法播放，且会自动从清单删除。,,Einige Songs in Ihren Playlists erreichen das Ende ihres Hörzeitraums und werden automatisch entfernt.
,,,,contentPlay.expiredNoticeDate,content_play_expired_notice_dialog_date,Expiration date,下架日期,下架日期,,Verfallsdatum
,,,,contentPlay.expiredNoticeDateExample,content_play_expired_notice_dialog_date_example,yyyy/mm/dd,年/月/日,年/月/日,,tt.mm.jjjj
,,,,contentPlay.licenseExpirationTitle,content_play_license_expiration_dialog_title,"Some songs in your playlist have reached the end of their listening period or are no longer available.\n To keep the music going, change to a different song!
Visit our website for more information.","部分樂曲因授權到期而已下架或是已刪除。如您欲繼續播放，請更換其他樂曲。\n
 您可至官網以取得更多資訊。","部分乐曲因授权到期而已下架或是已删除。如您欲继续播放，请更换其他乐曲。\n
 您可至官网以取得更多信息。",,"Einige Songs in Ihrer Playlist haben das Ende ihres Hörzeitraums erreicht oder sind nicht mehr verfügbar.\n Um die Musik am Laufen zu halten, wechseln Sie zu einem anderen Song!
Besuchen Sie unsere Website für weitere Informationen."
,,,,contentPlay.licenseExpirationButton,content_play_license_expiration_dialog_visit_button,View website,瀏覽官網,浏览官网,,Website ansehen
,,,,,content_play_license_expiration_dialog_i_got_it_button,I got it.,我知道了,我知道了,,Verstanden.
,,,,contentPlay.expiringReminderDescription,content_play_license_song_expiration_dialog_title,"Friendly reminder! Some songs in your playlist are reaching the end of their licensing period and will be unavailable soon. Pick another song to keep the music going.
  
 Visit our website to learn more.","提醒您，部分樂曲因授權到期即將下架，建議您更換其他樂曲，以免影響播放。
 您可至官網以取得更多資訊。","提醒您，部分乐曲因授权到期即将下架，建议您更换其他乐曲，以免影响播放。
 您可至官网以取得更多信息。",,"Freundliche Erinnerung! Einige Songs in Ihrer Playlist erreichen das Ende ihrer Lizenzlaufzeit und sind bald nicht mehr verfügbar. Wählen Sie ein anderes Lied, um die Musik am Laufen zu halten.
  
 Besuchen Sie unsere Website, um mehr zu erfahren."
,,,,contentPlay.expiringReminderViewSite,content_play_license_song_expiration_dialog_visit_button,View Website,瀏覽官網,浏览官网,,Website ansehen
,,,,,content_play_license_song_expiration_dialog_i_got_it_button,I got it.,我知道了,我知道了,,Verstanden.
,,,,voice.recorder.delete.dialog.title,voice_recorder_delete_dialog_title,Are you sure you want to delete this record?,確定刪除語音檔?,确定删除语音档?,,"Sind Sie sicher, dass Sie diesen Datensatz löschen möchten?"
,,,,voiceRecorderDeleteDialogContent,voice_recorder_delete_dialog_content,The playing of Music Scheduler will be affected.,將會影響音樂排程的播放。,将会影响音乐排程的播放。,,Die Wiedergabe von Music Scheduler wird beeinträchtigt.
,,,,,voice_recorder_delete_dialog_delete_button,Delete,刪除,删除,,Löschen
,,,,,voice_recorder_delete_dialog_cancel_button,Cancel,取消,取消,,Stornieren
,,,,musicSchedulerToastSelectedSong,music_scheduler_toast_selected_song,Selected content has been added to Music Scheduler.,將已選的樂曲加入「音樂排程」中,将已选的乐曲加入「音乐排程」中,,Ausgewählte Inhalte wurden zum Music Scheduler hinzugefügt.
,,,,musicSchedulerTitle,music_scheduler_title,Music Scheduler,音樂排程,音乐排程,,Musikplaner
,,,,musicSchedulerCancelButton,music_scheduler_cancel_button,Cancel,取消,取消,,Stornieren
,,,,musicSchedulerDoneButton,music_scheduler_done_button,Done,完成,完成,,Erledigt
,,,,musicSchedulerRepeartSubtitle,music_scheduler_repeart_subtitle,Repeat,重複,重复,,Wiederholen
,,,,musicSchedulerContentSubtitle,music_scheduler_content_subtitle,Content,內容,内容,,Inhalt
,,,,musicSchedulerDurationSubtitle,music_scheduler_duration_subtitle,Duration,播放期間,播放期间,,Dauer
,,,,musicSchedulerListItemSong,music_scheduler_list_item_song,%s song(s),%s 首樂曲,%s 首乐曲,%s song(s),%s Musikstück(e)
,,,,musicSchedulerListItemStory,music_scheduler_list_item_story,%s story(s),%s 首故事,%s 首故事,%s story(s),%s Geschichte(n)
,,,,musicSchedulerListItemSound,music_scheduler_list_item_sound,%s sound(s),%s 首舒眠音效,%s 首舒眠音效,%s sound(s),%s Geräusche
,,,,musicSchedulerListItemVoice,music_scheduler_list_item_voice,%s voice(s),%s 首錄音,%s 首录音,%s voice(s),%s Stimme(n)
,,,,musicSchedulerBottomSheetDialogSongListTitle,music_scheduler_bottom_sheet_dialog_song_list_title,Song list,樂曲清單,乐曲清单,,Songliste
,,,,musicSchedulerUnknownInformation,music_scheduler_unknown_information,Unknown,未知,未知,,Unbekannt
,,,,musicSchedulerTimerPickerDoneButtom,music_scheduler_timer_picker_done_buttom,Done,完成,完成,,Erledigt
,,,,musicSchedulerTimerPickerCancelButtom,music_scheduler_timer_picker_cancel_buttom,Cancel,取消,取消,,Stornieren
,,,,content.play.especially.mine.createPlaylist.hint,content_play_create_playlist_dialog_hint,Name this list,為歌單取名,为歌单取名,,Benennen Sie diese Liste
,,,,,content_play_create_playlist_dialog_confirm,Create,創建,创建,,Erstellen
,,,,content.play.especially.mine.empty.playlist,content_play_especially_mine_empty_playlist,Play your kid's favorite music!,播放孩子喜歡的音樂！,播放孩子喜欢的音乐！,,Spielen Sie die Lieblingsmusik Ihres Kindes!
,,,,,content_play_especially_mine_name_already_exists_dialog_confirm,I got it,我知道了,我知道了,,Verstanden.
,,,,,pixsee_friends_no_compatible_sd_card_dialog,"No compatible SD card detected. To enable playing audio content, ensure you are using a compatible SD card that has been formatted.\n\nPlease confirm the following:\n(1) Insert the SD card properly.\n(2) Use a compatible SD card for this device.\n(3) Ensure the SD card has at least 32GB of storage.\n(4) Use an SD card with a capacity under 1TB.","未偵測到相容的SD卡，無法正常播放有聲內容。請確認已置入相容的SD卡並已格式化，這樣SD卡才是就緒狀態。
請確認以下方法：
（1)正確插入SD卡
（2)使用與本裝置相容的SD卡
（3)使用容量至少32GB的SD卡
（4)勿使用超過1T容量的SD卡","未侦测到相容的SD卡，无法正常播放有声内容。请确认已置入相容的SD卡并已格式化，这样SD卡才是就绪状态。
请确认以下方法：
（1)正确插入SD卡
（2)使用与本装置相容的SD卡
（3)使用容量至少32GB的SD卡
（4)勿使用超过1T容量的SD卡",,"Keine kompatible SD-Karte erkannt. Um die Wiedergabe von Audioinhalten zu ermöglichen, stellen Sie sicher, dass Sie eine kompatible SD-Karte verwenden, die formatiert wurde.\n\nBitte bestätigen Sie Folgendes:\n(1) Setzen Sie die SD-Karte richtig ein.\n(2) Verwenden Sie hierfür eine kompatible SD-Karte Gerät.\n(3) Stellen Sie sicher, dass die SD-Karte über mindestens 32 GB Speicherplatz verfügt.\n(4) Verwenden Sie eine SD-Karte mit einer Kapazität von weniger als 1 TB."
,,,,,pixsee_friends_no_compatible_sd_card_dialog_button,I got it,我知道了,我知道了,,Verstanden.
,,,,storyMusicBoxTutorialCardTitle1,story_music_box_tutorial_card_title_1,Curation for you,為你而選,为你而选,,Kuration für Sie
,,,,storyMusicBoxTutorialCardContent1,story_music_box_tutorial_card_content_1,"Welcome to Pixsee Planet, where enchanting melodies accompany your child's journey! Enjoy three playlists curated every month.",歡迎您加入Pixsee Planet 訂閱服務，您將享有每月三種類型的歌單，為孩子的成長融入豐富優美的樂符。,欢迎您加入Pixsee Planet 订阅服务，您将享有每月三种类型的歌单，为孩子的成长融入丰富优美的乐符。,,"Willkommen bei Pixsee Planet, wo bezaubernde Melodien die Reise Ihres Kindes begleiten! Genießen Sie jeden Monat drei kuratierte Playlists."
,,,,storyMusicBoxTutorialCardTitle2,story_music_box_tutorial_card_title_2,Music Tale the World,音樂說世界,音乐说世界,,Musik erzählt die Welt
,,,,storyMusicBoxTutorialCardContent2,story_music_box_tutorial_card_content_2,"Spark your child's curiosity with a musical journey! Let music notes be their guide, opening their ears to the world's knowledge.",小朋友聽音樂也可以長知識喔！帶著孩子聽見音樂家傳遞世界的故事，聽見樂符中細膩有趣的知識。,小朋友听音乐也可以长知识喔！带着孩子听见音乐家传递世界的故事，听见乐符中细腻有趣的知识。,,Wecken Sie die Neugier Ihres Kindes mit einer musikalischen Reise! Lassen Sie sich von Musiknoten leiten und öffnen Sie Ihre Ohren für das Wissen der Welt.
,,,,storyMusicBoxTutorialCardTitle3,story_music_box_tutorial_card_title_3,Music Fuels the Mind,樂聽樂聰明,乐听乐聪明,,Musik befeuert den Geist
,,,,storyMusicBoxTutorialCardContent3,story_music_box_tutorial_card_content_3,"Music fuels IQ, sparks intelligence, calms emotions, boosts memory, and fosters language skills, inspiring kids' diverse talents.",聽音樂可以幫助智商成長！音樂結構刺激智能、穩定情緒、提升記憶力。音高、節奏多變性，促進語言發展。聽音樂培養孩子的音樂反應，啟發多元能力。,听音乐可以帮助智商成长！音乐结构刺激智能、稳定情绪、提升记忆力。音高、节奏多变性，促进语言发展。听音乐培养孩子的音乐反应，启发多元能力。,,"Musik fördert den IQ, weckt die Intelligenz, beruhigt Emotionen, stärkt das Gedächtnis und fördert Sprachkenntnisse und inspiriert so die vielfältigen Talente von Kindern."
,,,,storyMusicBoxTutorialCardTitle4,story_music_box_tutorial_card_title_4,Having Fun Together,享樂在一起,享乐在一起,,Gemeinsam Spaß haben
